,url,property_type,address,cost,size_sqft,size_sqm,agent_number
0,https://www.avisonyoung.co.uk/properties/-/property/detail-111092,1,"
Danbury House (Available From March 2023), Armstrong Way, Yate, Bristol, South West, BS37 5NG
",For Rent On Application," 47,410 SqFt "," (4,405 SqM) ","
Agent's Details

 James Short 
 T: 0117 988 5237 


 Paul Hobbs 
 T: 0117 988 5220 

"
1,https://www.avisonyoung.co.uk/properties/-/property/detail-111740,1,"
Former Honda Logistics Rail Terminal , The Rail Terminal, Keypoint Logistics Park, Swindon, South West, SN3 4RY
","For Sale £2,200,000 for the freehold", (3.80 Acres) , (1.54 Hectares) ,"
Agent's Details

 Paul Hobbs 
 T: 0117 988 5220 


 James Short 
 T: 0117 988 5237 

"
2,https://www.avisonyoung.co.uk/properties/-/property/detail-110390,1,"
Matrix 49 Unit 1, Lanson Roberts Road, Severn Beach, Bristol, South West, BS35 4BR
",For Rent On Application," 172,126 SqFt "," (15,991 SqM) ","
Agent's Details

 Paul Hobbs 
 T: 0117 988 5220 


 David Tew 
 T: 07920 005 081 

"
3,https://www.avisonyoung.co.uk/properties/-/property/detail-109959,1,"
Matrix 49 Unit 2, Lanson Roberts Road, Severn Beach, Bristol, South West, BS35 4BR
",For Rent On Application," 133,438 SqFt "," (12,397 SqM) ","
Agent's Details

 Paul Hobbs 
 T: 0117 988 5220 


 David Tew 
 T: 07920 005 081 

"
4,https://www.avisonyoung.co.uk/properties/-/property/detail-15578,1,"
Nash Business Area, Evercreech Junction, Shepton Mallet, South West, BA4 6NA
",For Rent On Application, (4.00 to 10 Acres) , (1.62 to 4 Hectares) ,"
Agent's Details

 Paul Hobbs 
 T: 0117 988 5220 

"
5,https://www.avisonyoung.co.uk/properties/-/property/detail-113327,1,"
Phase 2 Bridgwater Trade Park, Bristol Road, Bridgwater, South West, TA6 4WA
",For Sale On ApplicationFor Rent On Application, (1.40 Acres) , (0.57 Hectares) ,"
Agent's Details

 Paul Hobbs 
 T: 0117 988 5220 


 James Short 
 T: 0117 988 5237 

"
6,https://www.avisonyoung.co.uk/properties/-/property/detail-12083,1,"
Rockhaven Business Centre, Avonmouth, Bristol, Avon, BS11 0YH
",For Sale On ApplicationFor Rent On Application," 1,500 to 17,000 SqFt "," (139 to 1,579 SqM) ","
Agent's Details

 James Short 
 T: 0117 988 5237 


 Paul Hobbs 
 T: 0117 988 5220 

"
7,https://www.avisonyoung.co.uk/properties/-/property/detail-15573,1,"
Severnbanks, Central Avenue, Avonmouth, Bristol, BS10 7SD
",For Rent On Application, (2.00 to 100 Acres) , (0.81 to 40 Hectares) ,"
Agent's Details

 Paul Hobbs 
 T: 0117 988 5220 


 James Short 
 T: 0117 988 5237 

"
8,https://www.avisonyoung.co.uk/properties/-/property/detail-112592,1,"
SEVERNGATE, Central Park, Severn Road, Avonmouth, Bristol, South West, BS10 7SF
",For Rent On Application, (2.00 to 9 Acres) , (0.81 to 4 Hectares) ,"
Agent's Details

 Paul Hobbs 
 T: 0117 988 5220 


 James Short 
 T: 0117 988 5237 

"
9,https://www.avisonyoung.co.uk/properties/-/property/detail-112258,1,"
Unit 1 Danbury House, (Available From March 2023), Armstrong Way, Yate, Bristol, South West, BS37 5NG
",For Rent On Application," 0 to 22,689 SqFt "," (0 to 2,108 SqM) ","
Agent's Details

 James Short 
 T: 0117 988 5237 


 Paul Hobbs 
 T: 0117 988 5220 

"
10,https://www.avisonyoung.co.uk/properties/-/property/detail-113372,1,"
Vale One, Forest Vale Industrial Estate, Forest Vale Road, Cinderford, South West, GL14 2PH
",For Sale On ApplicationFor Rent On Application," 84,902 SqFt "," (7,888 SqM) ","
Agent's Details

 James Short 
 T: 0117 988 5237 


 Paul Hobbs 
 T: 0117 988 5220 


 Alex Thompson 
 T: 07780 257 156 

"
